Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Met_Color,Automatic,cc,Doors,Quarterly_Tax,Weight
1,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,23,46986,Diesel,90,1,0,2000,3,210,1165
2,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13750,23,72937,Diesel,90,1,0,2000,3,210,1165
3, TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13950,24,41711,Diesel,90,1,0,2000,3,210,1165
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14950,26,48000,Diesel,90,0,0,2000,3,210,1165
5,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13750,30,38500,Diesel,90,0,0,2000,3,210,1170
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,12950,32,61000,Diesel,90,0,0,2000,3,210,1170
7, TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,16900,27,94612,Diesel,90,1,0,2000,3,210,1245
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,18600,30,75889,Diesel,90,1,0,2000,3,210,1245
9, TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,21500,27,19700,Petrol,192,0,0,1800,3,100,1185
10, TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12950,23,71138,Diesel,69,0,0,1900,3,185,1105
11,TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 2/3-Doors,20950,25,31461,Petrol,192,0,0,1800,3,100,1185
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,19950,22,43610,Petrol,192,0,0,1800,3,100,1185
13,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,19600,25,32189,Petrol,192,0,0,1800,3,100,1185
14,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21500,31,23000,Petrol,192,1,0,1800,3,100,1185
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22500,32,34131,Petrol,192,1,0,1800,3,100,1185
16,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22000,28,18739,Petrol,192,0,0,1800,3,100,1185
17, TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,22750,30,34000,Petrol,192,1,0,1800,3,100,1185
18, TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 2/3-Doors,17950,24,21716,Petrol,110,1,0,1600,3,85,1105
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16750,24,25563,Petrol,110,0,0,1600,3,19,1065
20,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,16950,30,64359,Petrol,110,1,0,1600,3,85,1105
21, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,15950,30,67660,Petrol,110,1,0,1600,3,85,1105
